I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4586,,1971,10,27,17,58,36.9,40,7.1,,7.1,6,,,7.1,7,VANUATU,,"VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA",-15.5,167.2,170,1,1,,,,2,,3,,,,,,,,,,,,,,,,
6438,Tsu,1971,11,6,22,0,0.1,2,5.7,,5.7,6.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.5,179.1,150,,,,,,,,,,,,,,,,,,,,,,,,
4587,,1971,11,24,19,35,29.1,106,6.3,,,6.3,,,7.5,,RUSSIA,,"RUSSIA:  OFF KAMCHATKA, SHEMYA",52.9,159.2,50,,,,,,,,,,,,,,,,,,,,,,,,
4588,Tsu,1971,12,15,8,29,55.3,33,7.8,,7.8,6.1,,,7.8,10,RUSSIA,,"RUSSIA:  OFF KAMCHATKA, SHEMYA, ATTU",56,163.3,50,,,,,,,,,,,,,,,,,,,,,,,,
4589,,1972,1,4,3,16,54.5,33,7.6,,7.6,6.1,,,,5,TAIWAN,,TAIWAN,22.6,122.1,30,,,,,,,,,,,,,,,,,,,,,,,,
4590,Tsu,1972,1,25,2,6,23.3,33,7.5,,7.5,6.3,,,,6,TAIWAN,,TAIWAN,22.5,122.3,30,1,1,,,,,,1,5,1,,,1,1,,,,,,1,5,1,,
4591,,1972,1,25,3,41,23.7,33,7.7,,7.7,5.9,,,,,TAIWAN,,TAIWAN,23,122.2,30,,,,,,,,1,,,,,,,,,,,,1,,,,
4593,,1972,2,4,2,42,18.9,25,4.8,,,4.8,,,4.8,,ITALY,,"ITALY:  CENTRAL, ANCONA",43.8,13.3,130,1,1,,,2,1,,2,,,,,,,,,,,,,,,,
4594,,1972,2,10,6,49,15.9,21,4.5,,,4.5,,,4.5,,IRAN,,"IRAN:  DEH KOHNEH,SA'DABAD,BORAZJAN",29.7,50.9,140,,,,,,,,3,,,,,,,,,,,,,,,,
4595,Tsu,1972,2,29,9,22,59.8,56,7.2,,7.2,6.3,,,,10,JAPAN,,"JAPAN:  S OF HONSHU:  HACHIJOJIMA, TOKYO",33.3,140.8,30,,,,,,,,2,,,,,,,,,,,,,,,,
4596,,1972,3,20,7,33,49.6,64,6.1,,,6.1,,,6.9,9,PERU,,PERU:  JUANJUI,-6.8,-76.8,160,7,1,,,50,1,20,3,,,,,,,,,,,,,,,,
4600,,1972,4,10,2,6,53.2,11,6.9,,6.9,6.1,,,,9,IRAN,,"IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD",28.4,52.8,140,30000,4,,,1700,4,,4,,4,,,30000,4,,,1700,4,,4,,4,,
4603,,1972,4,24,9,57,21.7,33,6.9,,6.9,6,,,,5,TAIWAN,,TAIWAN:  HUALIEN,23.6,121.6,30,4,1,,,11,1,,2,,,,,4,1,,,11,1,,2,,,,
4604,,1972,4,25,19,30,9.3,50,7.2,7.2,7.2,6.2,,,,6,PHILIPPINES,,"PHILIPPINES:  MINDORO, LUZON, MANILA",13.4,120.3,170,,,,,,,,2,,,,,,,,,,,,2,,,,
6440,Tsu,1972,6,8,18,53,41.7,39,6.6,,6.6,6.2,,,,7,CHILE,,CHILE:  CENTRAL,-30.5,-71.8,160,,,,,,,,,,,,,,,,,,,,,,,,
4605,,1972,6,11,16,41,0.9,325,7.8,7.8,7.5,5.8,,,,,INDONESIA,,INDONESIA:  CELEBES SEA,3.9,124.3,170,,,,,,,,,,,,,,,,,,,,,,,,
4606,,1972,6,21,15,6,53.3,4,4.4,,,4.4,,,4.4,,ITALY,,ITALY:  ANCONA,43.8,13.3,130,2,1,,,,,300,4,,,,,,,,,,,,,,,,
4607,,1972,6,24,15,29,22.2,47,6.1,,6.1,6,,,6.6,6,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES",36.2,69.7,40,11,1,,,15,1,,2,,3,,3,,,,,,,,,,,,
4608,,1972,7,2,12,56,6.7,31,5.3,,5.3,5.4,,,5.4,,IRAN,,"IRAN:  MISHAN-E-MARKAZI,TALKHAB,MISHAN SOFLA",30.1,50.8,140,,,,,,,,2,,,,,,,,,,,,,,,,
4609,Tsu,1972,7,30,21,45,14.1,25,7.6,,7.6,6.5,,,7.6,7,USA,AK,"ALASKA:  SITKA, JUNEAU",56.82,-135.68,150,,,,,,,,1,,,,,,,,,,,,1,,,,
6441,Tsu,1972,8,17,23,44,5.9,10,7.1,,7.1,6.4,,,,5,SOLOMON SEA,,W. SOLOMON SEA,-6,152.9,170,,,,,,,,,,,,,,,,,,,,,,,,
4610,,1972,9,3,16,48,28.8,36,6.2,,6.2,6.3,,,6.5,,PAKISTAN,,"PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR",36,73.4,60,100,2,,,,,,3,1000,3,1000,3,,,,,,,,,,,,
4612,,1972,9,7,22,26,57.9,33,5.3,,5.3,,,,5.6,8,FRANCE,,"FRANCE:  LABOIRIE, ARCEAU, SAINT-PIERRE D'OLERON",46,-1.1,120,,,,,,,,2,,,,,,,,,,,,,,,,
4613,,1972,9,13,4,13,20.5,83,6,,6,,,,6.2,8,GREECE,,"GREECE:  CORINTHIA, ARCADIA",37.9,22.4,130,,,,,,,,2,,,,,,,,,,,,,,,,
4614,,1972,9,17,14,7,15.6,33,6.3,,6.3,5.6,,,6.4,7,GREECE,,"GREECE: LIXOURI, CHAVRIATA, DAMOULIANATA,KOUVALATA",38.3,20.3,130,,,,,,,,2,40,1,,,,,,,,,,,,,,
4615,,1972,11,2,19,55,22.1,32,7,,7,6.3,,,7.5,5,NEW CALEDONIA,,"NEW CALEDONIA:  LOYALTY ISLANDS:  TANNA, ANATOM",-20,168.8,170,,,,,,,,,,,,,,,,,,,,,,,,
4616,Tsu,1972,12,2,0,19,47.2,73,7.4,,7.4,6.3,,,7.8,6,PHILIPPINES,,"PHILIPPINES:  MINDANAO, DAVAO",6.5,126.6,170,,,,,,,,1,,,,,,,,,,,,1,,,,
4617,Tsu,1972,12,4,10,16,12,66,7.4,,7.4,6.6,,,,10,JAPAN,,"JAPAN:  S OF HONSHU, HACHIJOJIMA",33.3,140.7,30,,,,,,,,1,,,,,,,,,,,,2,,,,
4619,,1972,12,23,6,29,42.5,5,6.2,,6.2,5.6,,,,,NICARAGUA,,NICARAGUA:  MANAGUA,12.4,-86.1,100,10000,4,,,20000,4,2968,4,,,,,10000,4,,,20000,4,2968,4,,,,
6442,Tsu,1972,12,29,4,51,1.6,60,5.4,,5.4,5.1,,,6,,CHILE,,CHILE:  CENTRAL,-30.6,-71,160,,,,,,,,,,,,,,,,,,,,,,,,
4622,Tsu,1973,1,30,21,1,12.5,43,7.5,,7.5,6.2,,,,,MEXICO,,"MEXICO:  S, FARIAS, TECOMAN",18.48,-103,150,56,2,,,390,3,,2,,2,,,56,2,,,390,3,,2,,2,,
4624,,1973,2,6,10,37,10.1,33,7.6,,7.6,6.1,,,,10,CHINA,,CHINA:  SICHUAN PROVINCE,31.4,100.58,30,,,,,,,,2,168,3,,,,,,,,,,2,168,3,,
